Age,Gender,MaritalStatus,Education,EducationField,JobRole,Department,BusinessTravel,MonthlyIncome,DistanceFromHome,JobSatisfaction,JobInvolvement,RelationshipSatisfaction,PerformanceRating,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Churn
34,Male,Single,Bachelor,Marketing,Sales Executive,Sales,Non-Travel,5304,19,Very High,Very High,Medium,Excellent,5,2,0,4,Yes
55,Female,Single,Bachelor,Life Sciences,Manager,Research & Development,Travel_Rarely,16659,2,Very High,High,High,Excellent,5,4,1,2,No
24,Female,Divorced,Master,Marketing,Sales Executive,Sales,Travel_Rarely,4260,10,High,High,Very High,Excellent,5,2,0,3,No
30,Male,Married,Below College,Technical Degree,Sales Representative,Sales,Travel_Rarely,2476,2,Medium,High,Low,Excellent,1,0,0,0,No
26,Male,Single,Below College,Technical Degree,Research Scientist,Research & Development,Travel_Frequently,3102,3,Low,High,High,Outstanding,6,4,0,4,Yes
22,Female,Married,Bachelor,Medical,Research Scientist,Research & Development,Travel_Rarely,2244,11,Medium,High,Very High,Excellent,2,1,1,2,No
36,Male,Married,College,Medical,Sales Executive,Sales,Travel_Rarely,7596,2,High,Medium,Medium,Excellent,10,9,9,0,No
30,Male,Single,Bachelor,Technical Degree,Research Scientist,Research & Development,Travel_Frequently,2285,4,Very High,High,High,Outstanding,1,0,0,0,Yes
37,Female,Divorced,Bachelor,Life Sciences,Laboratory Technician,Research & Development,Travel_Rarely,3034,14,Low,High,High,Excellent,18,7,12,17,No
40,Female,Divorced,College,Marketing,Sales Executive,Sales,Travel_Rarely,5715,2,Medium,High,High,Excellent,5,4,1,3,No
42,Female,Divorced,Master,Life Sciences,Laboratory Technician,Research & Development,Travel_Rarely,2576,1,Low,High,Medium,Excellent,5,2,1,2,No
37,Male,Single,Master,Life Sciences,Manufacturing Director,Research & Development,Travel_Rarely,4197,10,Medium,High,Very High,Excellent,1,0,0,1,No
43,Male,Divorced,Bachelor,Life Sciences,Research Director,Research & Development,Travel_Rarely,14336,12,Medium,Medium,High,Excellent,25,10,3,9,No
40,Female,Married,Bachelor,Medical,Laboratory Technician,Research & Development,Travel_Rarely,3448,2,High,Medium,Medium,Outstanding,1,0,0,0,No
54,Male,Married,College,Medical,Research Director,Research & Development,Travel_Rarely,19406,5,Low,High,High,Excellent,4,2,1,2,No
34,Female,Married,Master,Marketing,Sales Executive,Sales,Non-Travel,6538,4,High,High,Low,Excellent,3,2,1,2,No
31,Female,Married,College,Medical,Manufacturing Director,Research & Development,Travel_Rarely,4306,7,Low,High,Medium,Excellent,13,10,3,12,No
43,Male,Married,Bachelor,Medical,Laboratory Technician,Research & Development,Travel_Frequently,2258,21,Very High,High,Low,Outstanding,3,2,1,2,No
43,Female,Divorced,Master,Other,Healthcare Representative,Research & Development,Travel_Rarely,4522,8,High,High,Very High,Excellent,5,2,0,2,No
25,Female,Single,College,Life Sciences,Sales Executive,Sales,Travel_Rarely,4487,4,Very High,Medium,Medium,Excellent,5,4,1,3,No
37,Female,Married,Doctor,Medical,Research Scientist,Research & Development,Non-Travel,4449,25,High,High,Low,Excellent,13,11,10,7,No
31,Male,Married,College,Life Sciences,Laboratory Technician,Research & Development,Travel_Rarely,2218,1,Low,Medium,High,Excellent,4,2,3,2,No
39,Male,Divorced,Below College,Life Sciences,Manager,Research & Development,Travel_Frequently,19197,1,High,High,High,Excellent,21,8,1,6,No
56,Female,Married,Bachelor,Life Sciences,Sales Executive,Sales,Travel_Frequently,13212,6,Low,Very High,Very High,Excellent,7,7,7,7,No
30,Female,Single,Bachelor,Technical Degree,Sales Executive,Sales,Travel_Rarely,6577,12,High,High,Medium,Excellent,5,4,4,4,No
41,Male,Married,Bachelor,Marketing,Sales Executive,Sales,Travel_Rarely,8392,1,Low,Very High,High,Excellent,10,7,0,7,No
28,Male,Divorced,College,Medical,Laboratory Technician,Research & Development,Travel_Rarely,4558,17,Low,High,Very High,Excellent,10,0,1,8,No
25,Male,Married,Bachelor,Medical,Laboratory Technician,Research & Development,Travel_Rarely,4031,3,Low,High,High,Excellent,2,2,0,2,Yes
52,Male,Married,Bachelor,Medical,Manufacturing Director,Research & Development,Travel_Rarely,7969,3,High,Medium,High,Excellent,5,4,0,4,No
45,Male,Married,College,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,2654,10,Very High,High,Very High,Outstanding,2,2,0,2,No
52,Female,Married,College,Life Sciences,Manager,Research & Development,Travel_Rarely,16555,4,Very High,High,Very High,Excellent,5,2,1,4,No
42,Female,Divorced,College,Life Sciences,Research Scientist,Research & Development,Travel_Frequently,4556,29,High,High,Medium,Excellent,5,4,0,2,No
30,Female,Single,Bachelor,Life Sciences,Manufacturing Director,Research & Development,Travel_Rarely,6091,2,Very High,Low,High,Outstanding,5,4,0,2,No
60,Female,Married,Bachelor,Life Sciences,Manager,Research & Development,Travel_Rarely,19566,7,Low,High,Very High,Excellent,29,8,11,10,No
46,Female,Divorced,Bachelor,Medical,Manufacturing Director,Research & Development,Travel_Rarely,4810,18,High,High,High,Excellent,10,7,0,8,No
42,Female,Married,Master,Technical Degree,Healthcare Representative,Research & Development,Travel_Frequently,4523,28,Very High,Medium,Very High,Excellent,6,5,0,4,No
24,Female,Single,Below College,Technical Degree,Sales Representative,Sales,Travel_Rarely,3202,1,Medium,High,Medium,Excellent,5,3,1,4,Yes
34,Female,Divorced,College,Marketing,Sales Representative,Sales,Travel_Frequently,2351,6,High,Low,Very High,Excellent,2,2,1,0,Yes
38,Male,Married,College,Life Sciences,Laboratory Technician,Research & Development,Travel_Frequently,1702,2,Very High,High,High,Outstanding,1,0,0,0,No
40,Female,Married,Master,Life Sciences,Manager,Sales,Travel_Rarely,18041,2,High,High,Very High,Excellent,20,15,1,12,No
26,Female,Divorced,Bachelor,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,2886,23,Very High,High,Medium,Outstanding,3,2,0,2,No
30,Male,Married,Bachelor,Life Sciences,Laboratory Technician,Research & Development,Non-Travel,2097,3,Very High,High,High,Excellent,5,3,1,4,No
29,Male,Married,Master,Medical,Research Director,Research & Development,Travel_Rarely,11935,3,High,Medium,High,Excellent,10,2,0,7,No
29,Female,Married,Doctor,Technical Degree,Research Scientist,Research & Development,Travel_Rarely,2546,25,Medium,Medium,Medium,Excellent,2,2,1,1,Yes
19,Male,Single,College,Technical Degree,Human Resources,Human Resources,Travel_Rarely,2564,2,Very High,Medium,High,Excellent,1,0,0,0,Yes
30,Female,Married,Master,Other,Sales Executive,Sales,Non-Travel,8412,22,Low,High,High,Excellent,9,8,7,8,No
57,Male,Divorced,Bachelor,Marketing,Manager,Sales,Travel_Rarely,14118,29,Very High,Medium,High,Excellent,1,0,0,0,No
50,Male,Married,Master,Life Sciences,Manager,Research & Development,Travel_Rarely,17046,29,High,Medium,Medium,Excellent,27,10,15,7,No
30,Female,Single,Bachelor,Medical,Laboratory Technician,Research & Development,Non-Travel,2564,2,Very High,High,High,Excellent,11,7,6,7,No
60,Female,Married,Bachelor,Marketing,Sales Executive,Sales,Travel_Frequently,10266,28,Low,Medium,Very High,Excellent,18,13,13,11,No
47,Female,Divorced,College,Medical,Manufacturing Director,Research & Development,Travel_Rarely,5070,2,Very High,High,High,Excellent,5,0,0,4,No
46,Male,Married,Bachelor,Life Sciences,Research Director,Research & Development,Travel_Rarely,17861,2,High,High,High,Excellent,3,2,0,1,No
35,Male,Single,Bachelor,Life Sciences,Laboratory Technician,Research & Development,Travel_Rarely,4230,22,High,Low,High,Excellent,5,4,4,3,No
54,Female,Single,Master,Life Sciences,Laboratory Technician,Research & Development,Travel_Rarely,3780,8,High,High,High,Excellent,1,0,0,0,No
34,Male,Divorced,Master,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,2768,2,High,Medium,High,Excellent,7,3,5,7,No
46,Female,Married,Bachelor,Marketing,Sales Executive,Sales,Travel_Rarely,9071,10,Very High,Medium,High,Excellent,3,2,1,2,No
31,Male,Divorced,Below College,Life Sciences,Manufacturing Director,Research & Development,Travel_Rarely,10648,9,Medium,High,Very High,Outstanding,13,8,0,8,No
33,Male,Married,Below College,Medical,Manager,Research & Development,Travel_Rarely,13610,15,High,High,Very High,Excellent,7,6,7,7,Yes
33,Male,Divorced,Below College,Medical,Laboratory Technician,Research & Development,Travel_Rarely,3408,10,Very High,Low,Low,Excellent,4,3,1,3,Yes
30,Male,Single,Below College,Marketing,Sales Representative,Sales,Travel_Rarely,2983,7,Medium,High,Low,Excellent,3,2,1,2,No
35,Male,Married,Bachelor,Life Sciences,Healthcare Representative,Research & Development,Travel_Rarely,7632,16,High,High,High,Excellent,8,7,0,0,No
31,Male,Married,Bachelor,Life Sciences,Healthcare Representative,Research & Development,Travel_Frequently,9824,20,High,High,Low,Excellent,1,0,0,0,Yes
34,Female,Divorced,Bachelor,Human Resources,Human Resources,Human Resources,Travel_Frequently,9950,23,Low,High,High,Excellent,3,2,0,2,Yes
42,Male,Married,College,Other,Laboratory Technician,Research & Development,Travel_Frequently,2093,5,High,High,Very High,Excellent,2,2,2,0,No
36,Male,Single,Master,Medical,Sales Executive,Sales,Non-Travel,9980,10,Very High,High,Very High,Excellent,10,3,9,7,No
22,Male,Single,Below College,Technical Degree,Laboratory Technician,Research & Development,Travel_Frequently,3894,4,High,Medium,High,Excellent,2,2,1,2,Yes
48,Female,Married,Doctor,Marketing,Sales Executive,Sales,Travel_Rarely,4051,2,Very High,High,Low,Excellent,9,7,6,7,No
55,Female,Single,Doctor,Life Sciences,Manager,Sales,Travel_Rarely,16835,18,Medium,High,Very High,Outstanding,10,9,7,7,No
41,Male,Single,College,Life Sciences,Sales Executive,Sales,Non-Travel,6230,10,Very High,High,Very High,Excellent,14,3,1,10,No
35,Male,Married,Bachelor,Marketing,Sales Executive,Sales,Travel_Rarely,4717,1,High,High,High,Excellent,11,9,6,9,No
40,Female,Single,Bachelor,Life Sciences,Manufacturing Director,Research & Development,Travel_Rarely,13237,6,High,High,High,Excellent,20,6,5,13,No
39,Female,Married,Below College,Life Sciences,Laboratory Technician,Research & Development,Travel_Frequently,3755,8,High,High,Low,Excellent,8,3,0,7,No
31,Male,Single,Below College,Life Sciences,Sales Executive,Sales,Travel_Rarely,6582,2,Very High,High,High,Excellent,6,5,0,5,No
42,Male,Married,Bachelor,Medical,Manufacturing Director,Research & Development,Travel_Rarely,7406,24,Low,High,Very High,Outstanding,10,9,5,8,No
45,Male,Married,Bachelor,Other,Sales Executive,Sales,Travel_Rarely,4805,2,Medium,High,Medium,Excellent,8,7,3,7,No
26,Female,Divorced,Master,Life Sciences,Human Resources,Human Resources,Travel_Frequently,2741,17,High,High,Medium,Excellent,7,7,1,0,Yes
29,Male,Divorced,Bachelor,Technical Degree,Manufacturing Director,Research & Development,Travel_Rarely,4262,19,Very High,High,Medium,Excellent,3,2,1,2,No
33,Female,Divorced,Doctor,Medical,Research Director,Research & Development,Travel_Rarely,16184,1,High,Very High,High,Excellent,6,1,0,5,No
31,Male,Divorced,Bachelor,Life Sciences,Manager,Sales,Travel_Rarely,11557,7,Very High,Medium,High,Outstanding,5,4,0,1,No
18,Male,Single,Bachelor,Marketing,Sales Representative,Sales,Travel_Frequently,1878,5,Medium,High,Very High,Excellent,0,0,0,0,Yes
40,Male,Divorced,Bachelor,Other,Sales Executive,Sales,Non-Travel,10932,28,Low,Low,High,Excellent,1,0,0,1,No
41,Female,Single,Master,Other,Healthcare Representative,Research & Development,Non-Travel,6811,2,High,Medium,Low,Excellent,8,7,0,7,No
26,Male,Divorced,College,Medical,Sales Executive,Sales,Travel_Rarely,4306,29,High,High,Low,Excellent,0,0,0,0,No
35,Female,Single,Bachelor,Medical,Sales Executive,Sales,Travel_Rarely,4859,1,High,High,Very High,Excellent,5,4,0,3,No
34,Male,Single,Master,Life Sciences,Sales Executive,Sales,Travel_Rarely,5337,21,Very High,Very High,Very High,Excellent,10,7,5,7,No
26,Male,Single,Bachelor,Technical Degree,Laboratory Technician,Research & Development,Travel_Rarely,2340,24,Very High,Low,Medium,Excellent,1,0,0,0,Yes
37,Female,Single,Bachelor,Technical Degree,Manufacturing Director,Research & Development,Travel_Rarely,7491,1,Very High,High,Very High,Excellent,6,5,1,2,No
46,Female,Married,Below College,Medical,Healthcare Representative,Research & Development,Travel_Frequently,10527,18,High,High,Very High,Excellent,2,2,1,2,No
41,Female,Married,Doctor,Life Sciences,Manager,Sales,Travel_Rarely,16595,2,Low,High,Medium,Excellent,18,16,11,8,No
37,Male,Divorced,Master,Medical,Sales Executive,Sales,Non-Travel,8834,9,Medium,High,Very High,Excellent,9,5,7,7,No
52,Male,Divorced,College,Technical Degree,Research Scientist,Research & Development,Travel_Rarely,5577,6,Low,High,Medium,Excellent,10,9,6,9,No
32,Male,Married,Master,Other,Sales Executive,Sales,Non-Travel,4707,11,High,Very High,Very High,Excellent,4,2,1,2,Yes
24,Male,Married,Bachelor,Medical,Sales Representative,Sales,Travel_Frequently,2400,24,Very High,High,High,Excellent,2,2,2,1,No
38,Female,Married,Bachelor,Medical,Healthcare Representative,Research & Development,Travel_Rarely,9824,10,High,High,High,Excellent,1,0,0,0,No
37,Female,Married,Master,Life Sciences,Manufacturing Director,Research & Development,Travel_Rarely,6447,1,Medium,High,Medium,Excellent,6,5,4,3,No
49,Male,Divorced,Master,Life Sciences,Research Director,Research & Development,Travel_Rarely,19502,18,High,Medium,High,Excellent,31,9,0,9,No
24,Male,Married,Bachelor,Medical,Research Scientist,Research & Development,Travel_Rarely,2725,23,Very High,Very High,Medium,Excellent,6,5,1,4,No
26,Male,Married,College,Marketing,Sales Executive,Sales,Travel_Rarely,6272,28,Medium,High,Very High,Outstanding,5,3,1,4,No
24,Male,Married,College,Other,Laboratory Technician,Research & Development,Travel_Rarely,2127,17,Medium,Medium,Very High,Outstanding,1,0,0,0,No
50,Male,Married,Bachelor,Medical,Manager,Human Resources,Travel_Frequently,18200,3,Medium,High,High,Excellent,32,5,10,7,No
25,Male,Married,Below College,Medical,Sales Representative,Sales,Travel_Rarely,2096,13,High,High,High,Excellent,7,4,0,6,No
24,Female,Married,Bachelor,Life Sciences,Laboratory Technician,Research & Development,Travel_Frequently,2886,7,High,High,Very High,Excellent,6,3,1,2,Yes
30,Male,Married,Master,Life Sciences,Sales Representative,Sales,Travel_Frequently,2033,12,Low,Medium,High,Excellent,1,0,0,0,Yes
34,Male,Married,College,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,3622,1,Very High,Medium,Very High,Excellent,6,5,1,3,No
31,Male,Divorced,Master,Medical,Sales Executive,Sales,Travel_Rarely,4233,13,Low,High,High,Excellent,3,1,1,2,Yes
35,Male,Single,College,Other,Laboratory Technician,Research & Development,Travel_Rarely,3681,25,Very High,Medium,Very High,Excellent,3,2,0,2,No
31,Male,Divorced,Master,Medical,Sales Executive,Sales,Travel_Rarely,5460,6,Very High,Very High,Very High,Outstanding,7,7,5,7,No
27,Female,Divorced,Master,Medical,Research Scientist,Research & Development,Travel_Rarely,2187,6,High,Medium,High,Excellent,5,3,0,3,No
37,Male,Married,Bachelor,Marketing,Sales Executive,Sales,Travel_Rarely,9602,2,High,High,High,Excellent,3,0,1,0,No
20,Female,Single,Bachelor,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,2836,1,Medium,Medium,Very High,Excellent,1,0,0,0,No
42,Female,Married,Master,Life Sciences,Healthcare Representative,Research & Development,Travel_Rarely,4089,2,Very High,High,Medium,Excellent,10,2,2,2,No
43,Male,Divorced,Master,Other,Research Director,Research & Development,Travel_Rarely,16627,6,Very High,Medium,High,Excellent,1,0,0,0,No
38,Female,Single,Below College,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,2619,1,Low,High,Very High,Excellent,0,0,0,0,No
43,Male,Divorced,Doctor,Medical,Laboratory Technician,Research & Development,Travel_Frequently,5679,9,High,High,Medium,Excellent,8,7,4,7,No
48,Female,Married,Master,Life Sciences,Manager,Research & Development,Travel_Rarely,15402,1,Low,Medium,Low,Excellent,3,2,0,2,No
44,Female,Single,Master,Life Sciences,Human Resources,Human Resources,Travel_Rarely,5985,1,High,Medium,Medium,Excellent,2,2,0,2,No
34,Female,Divorced,Bachelor,Technical Degree,Sales Representative,Sales,Travel_Rarely,2579,14,High,High,Very High,Excellent,8,2,0,6,No
27,Male,Divorced,Below College,Marketing,Sales Representative,Sales,Travel_Rarely,3041,2,Low,High,Medium,Excellent,4,3,0,2,Yes
21,Male,Single,Below College,Technical Degree,Sales Representative,Sales,Travel_Rarely,3447,22,High,High,High,Excellent,3,2,1,2,No
44,Male,Married,Master,Other,Manager,Research & Development,Travel_Rarely,19513,3,Very High,High,Low,Excellent,2,2,0,1,No
22,Male,Married,Below College,Medical,Research Scientist,Research & Development,Travel_Rarely,2773,6,High,High,Very High,Outstanding,2,2,2,2,No
33,Male,Divorced,Master,Marketing,Sales Executive,Sales,Travel_Rarely,7104,8,High,High,Very High,Excellent,5,0,1,2,No
32,Female,Married,Master,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,6322,9,Very High,High,Very High,Excellent,6,4,0,5,No
30,Female,Divorced,Bachelor,Medical,Research Scientist,Research & Development,Travel_Frequently,2083,3,High,High,High,Outstanding,1,0,0,0,No
53,Female,Single,Below College,Medical,Sales Executive,Sales,Travel_Rarely,8381,1,Low,High,Very High,Outstanding,14,7,8,10,No
34,Male,Married,Doctor,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,2691,1,Very High,High,Very High,Excellent,10,9,8,8,No
45,Female,Married,Master,Life Sciences,Sales Executive,Sales,Travel_Frequently,4286,26,Low,High,Very High,Excellent,1,1,0,0,Yes
26,Female,Married,Bachelor,Life Sciences,Laboratory Technician,Research & Development,Travel_Rarely,2659,6,Very High,High,High,Excellent,3,2,0,2,No
37,Male,Married,Bachelor,Other,Manufacturing Director,Research & Development,Travel_Rarely,9434,3,High,High,High,Excellent,10,7,7,8,No
29,Female,Married,College,Medical,Sales Executive,Sales,Travel_Rarely,5561,3,High,High,Low,Excellent,6,0,1,2,No
35,Male,Single,Master,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,6646,6,Very High,Low,Medium,Excellent,17,11,11,8,No
33,Male,Divorced,Bachelor,Life Sciences,Healthcare Representative,Research & Development,Travel_Frequently,7725,6,Very High,High,High,Outstanding,13,11,4,7,No
54,Male,Married,Master,Medical,Human Resources,Human Resources,Travel_Rarely,10725,19,Medium,High,High,Excellent,9,7,7,1,No
36,Male,Divorced,College,Medical,Manufacturing Director,Research & Development,Travel_Rarely,8847,9,Medium,Medium,High,Excellent,3,2,0,2,No
27,Male,Single,Master,Medical,Research Scientist,Research & Development,Travel_Rarely,2045,3,Very High,Medium,Very High,Excellent,4,2,1,1,No
20,Male,Single,Below College,Medical,Research Scientist,Research & Development,Travel_Rarely,1009,10,High,High,Very High,Excellent,1,0,1,1,Yes
33,Male,Single,Bachelor,Life Sciences,Research Scientist,Research & Development,Travel_Frequently,3348,3,Low,High,Low,Excellent,10,8,9,7,Yes
35,Male,Married,Bachelor,Life Sciences,Laboratory Technician,Research & Development,Non-Travel,1281,3,High,Medium,High,Excellent,1,0,0,0,No
23,Male,Married,Bachelor,Medical,Research Scientist,Research & Development,Travel_Rarely,2819,4,Low,Very High,Low,Excellent,3,2,0,2,No
25,Male,Married,Bachelor,Life Sciences,Sales Executive,Sales,Travel_Rarely,4851,8,Medium,Very High,High,Outstanding,3,2,1,2,No
38,Female,Single,Master,Marketing,Sales Executive,Sales,Travel_Rarely,4028,7,Very High,Medium,Low,Outstanding,7,7,0,5,No
29,Male,Divorced,Master,Life Sciences,Research Scientist,Research & Development,Travel_Frequently,2720,1,Very High,Low,Very High,Excellent,10,7,2,8,No
48,Male,Married,Below College,Marketing,Sales Executive,Sales,Travel_Rarely,8120,2,Medium,Very High,Very High,Excellent,2,2,2,2,No
27,Female,Divorced,Below College,Medical,Sales Executive,Sales,Travel_Frequently,4647,3,Very High,Very High,Medium,Outstanding,6,5,0,4,No
37,Male,Single,College,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,4680,10,Very High,Very High,Low,Excellent,1,0,0,0,No
50,Male,Married,Below College,Medical,Laboratory Technician,Research & Development,Travel_Rarely,3221,28,High,Very High,High,Excellent,20,8,3,8,No
34,Female,Single,Bachelor,Medical,Healthcare Representative,Research & Development,Travel_Rarely,8621,9,Medium,Medium,Medium,Excellent,8,7,7,7,No
24,Female,Single,College,Life Sciences,Sales Executive,Sales,Travel_Rarely,4577,3,High,High,Low,Excellent,2,2,2,0,Yes
39,Female,Single,Master,Technical Degree,Healthcare Representative,Research & Development,Travel_Rarely,4553,2,High,Medium,Low,Excellent,20,7,11,10,No
32,Male,Single,Bachelor,Marketing,Sales Executive,Sales,Travel_Rarely,5396,10,Very High,High,Very High,Excellent,10,7,0,8,No
50,Male,Married,College,Technical Degree,Sales Executive,Sales,Travel_Frequently,6796,8,High,High,Low,Excellent,4,3,1,3,Yes
38,Female,Single,Master,Life Sciences,Healthcare Representative,Research & Development,Travel_Rarely,7625,1,Very High,Very High,High,Excellent,9,7,1,8,No
27,Female,Married,College,Life Sciences,Manufacturing Director,Research & Development,Travel_Rarely,7412,1,Low,High,Very High,Excellent,9,7,0,7,No
32,Female,Single,College,Life Sciences,Research Director,Research & Development,Travel_Rarely,11159,3,Very High,High,Very High,Excellent,7,7,7,7,No
47,Male,Single,Master,Marketing,Sales Executive,Sales,Travel_Rarely,4960,14,Low,High,Very High,Excellent,7,7,1,7,No
40,Male,Married,Master,Life Sciences,Sales Executive,Sales,Travel_Frequently,10475,5,Low,Medium,High,Outstanding,18,13,1,12,No
53,Male,Married,Bachelor,Life Sciences,Research Director,Research & Development,Travel_Rarely,14814,7,High,Very High,High,Excellent,5,1,1,3,No
41,Male,Divorced,Master,Human Resources,Manager,Human Resources,Travel_Rarely,19141,10,Very High,Medium,Medium,Excellent,21,6,12,6,No
60,Male,Single,Master,Marketing,Sales Executive,Sales,Travel_Rarely,5405,16,Low,High,Very High,Excellent,2,2,2,2,No
27,Male,Divorced,College,Life Sciences,Manufacturing Director,Research & Development,Travel_Frequently,8793,10,Low,High,High,Outstanding,9,7,1,7,No
41,Male,Married,Bachelor,Human Resources,Manager,Human Resources,Travel_Rarely,19189,1,High,Medium,Medium,Excellent,22,7,2,10,No
50,Male,Married,Master,Marketing,Sales Representative,Sales,Travel_Rarely,3875,8,Medium,High,Very High,Excellent,2,2,2,2,No
28,Female,Single,College,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,2216,1,Medium,Low,Very High,Excellent,7,7,3,7,Yes
36,Female,Married,Bachelor,Life Sciences,Research Director,Research & Development,Non-Travel,11713,8,Low,Very High,Low,Excellent,8,7,0,5,No
38,Female,Single,Bachelor,Life Sciences,Manufacturing Director,Research & Development,Travel_Rarely,7861,1,High,High,Very High,Excellent,1,0,0,0,No
44,Male,Single,Bachelor,Medical,Laboratory Technician,Research & Development,Non-Travel,3708,24,High,Low,High,Excellent,5,2,1,4,No
47,Female,Divorced,Bachelor,Medical,Sales Executive,Sales,Travel_Frequently,13770,3,High,High,Very High,Excellent,22,2,11,13,No
30,Male,Divorced,Doctor,Marketing,Sales Executive,Sales,Travel_Rarely,5304,27,Very High,High,Very High,Outstanding,8,7,7,7,No
29,Male,Single,Bachelor,Life Sciences,Sales Representative,Sales,Travel_Rarely,2642,10,High,High,High,Excellent,1,0,0,0,No
42,Male,Divorced,Bachelor,Medical,Research Scientist,Research & Development,Travel_Frequently,2759,19,High,Very High,Very High,Excellent,2,2,2,2,Yes
43,Male,Married,Bachelor,Life Sciences,Sales Executive,Sales,Travel_Frequently,6804,15,Very High,Medium,High,Excellent,2,2,2,2,No
34,Female,Single,College,Medical,Healthcare Representative,Research & Development,Travel_Rarely,6142,8,High,High,Very High,Excellent,5,1,4,3,No
23,Male,Married,Below College,Medical,Laboratory Technician,Research & Development,Travel_Rarely,2500,9,Low,High,Very High,Excellent,4,3,0,2,No
39,Female,Married,Bachelor,Human Resources,Human Resources,Human Resources,Travel_Rarely,6389,3,Medium,Very High,High,Excellent,8,3,3,6,No
56,Male,Married,Bachelor,Medical,Healthcare Representative,Research & Development,Travel_Rarely,11103,9,Very High,High,High,Excellent,10,7,1,1,No
40,Female,Single,Below College,Medical,Research Scientist,Research & Development,Travel_Rarely,2342,2,Very High,Medium,Very High,Outstanding,4,2,2,3,No
27,Female,Single,Bachelor,Medical,Healthcare Representative,Research & Development,Travel_Rarely,6811,7,Low,Medium,Low,Excellent,7,6,0,7,No
29,Male,Divorced,Bachelor,Marketing,Sales Representative,Sales,Travel_Rarely,2297,10,Medium,High,Very High,Excellent,2,2,2,2,No
53,Male,Single,Bachelor,Life Sciences,Laboratory Technician,Research & Development,Travel_Rarely,2450,6,Very High,High,Very High,Excellent,2,2,2,2,No
35,Female,Divorced,Master,Life Sciences,Healthcare Representative,Research & Development,Non-Travel,5093,2,Low,High,Low,Excellent,1,0,0,0,No
32,Male,Married,Master,Life Sciences,Laboratory Technician,Research & Development,Travel_Frequently,5309,24,Very High,High,Very High,Excellent,10,8,4,7,No
38,Male,Married,Doctor,Medical,Research Scientist,Research & Development,Travel_Rarely,3057,2,High,High,Medium,Excellent,1,0,0,1,No
34,Female,Divorced,Doctor,Life Sciences,Manufacturing Director,Research & Development,Travel_Rarely,5121,8,Low,High,High,Excellent,0,0,0,0,No
52,Male,Married,Master,Marketing,Manager,Sales,Travel_Rarely,16856,3,Low,Medium,Low,Excellent,34,6,1,16,No
33,Male,Single,Master,Other,Research Scientist,Research & Development,Travel_Rarely,2686,1,Very High,High,High,Excellent,10,9,7,8,Yes
25,Female,Single,Below College,Medical,Sales Executive,Sales,Travel_Rarely,6180,26,Very High,High,Medium,Outstanding,6,5,1,4,No
45,Male,Single,College,Technical Degree,Sales Representative,Sales,Travel_Rarely,6632,2,High,Low,Low,Excellent,8,7,3,1,No
23,Male,Single,Below College,Medical,Research Scientist,Research & Development,Travel_Rarely,3505,10,High,Very High,Very High,Excellent,2,2,0,2,No
47,Female,Single,College,Life Sciences,Sales Executive,Sales,Travel_Frequently,6397,27,High,Very High,Very High,Excellent,5,4,1,3,Yes
34,Male,Single,Bachelor,Other,Sales Executive,Sales,Travel_Rarely,6274,2,Very High,High,High,Outstanding,6,5,1,4,No
55,Male,Married,Bachelor,Medical,Manager,Research & Development,Travel_Rarely,19859,2,Low,High,Very High,Excellent,5,2,1,4,Yes
36,Male,Single,Master,Life Sciences,Sales Executive,Sales,Non-Travel,7587,8,Low,Medium,Medium,Excellent,10,7,0,9,No
52,Male,Married,Master,Medical,Research Scientist,Research & Development,Non-Travel,4258,19,Very High,High,Low,Excellent,4,3,1,2,No
26,Female,Divorced,College,Life Sciences,Laboratory Technician,Research & Development,Travel_Frequently,4364,1,Very High,Low,Low,Excellent,2,2,2,0,No
29,Female,Married,Bachelor,Medical,Healthcare Representative,Research & Development,Travel_Rarely,4335,27,High,High,Low,Excellent,8,7,1,1,No
26,Male,Single,Bachelor,Technical Degree,Sales Executive,Sales,Travel_Rarely,5326,8,Low,Medium,High,Excellent,4,3,1,2,Yes
34,Female,Single,Master,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,3280,1,Very High,Very High,High,Excellent,4,2,1,3,No
54,Female,Divorced,Master,Medical,Manufacturing Director,Research & Development,Travel_Rarely,5485,19,Low,High,Medium,Excellent,5,3,1,4,No
27,Male,Married,Below College,Marketing,Sales Executive,Sales,Travel_Frequently,4342,8,Very High,High,Medium,Excellent,4,2,1,1,No
37,Female,Divorced,Below College,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,2782,10,Low,High,Medium,Excellent,5,3,4,3,No
